epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,149.245,1.42836,2.49472,1.78505,1.70719,0.00667,1,0.87852,0.76735,0.00467,0.7,0.45561,0.31753,0.71648,5.87845,2.46886,1.01511,0.000493898,0.000493898,0.000493898
45,152.56,0.9399,2.43897,1.39061,1.24071,0.11456,1,0.90063,0.74101,0.08019,0.7,0.47317,0.33838,0.70944,7.13158,2.40683,1.08327,0.000496672,0.000496672,0.000496672
46,155.801,0.8624,1.85032,1.2778,1.10233,0.11456,1,0.90063,0.74101,0.08019,0.7,0.47317,0.33838,0.70944,7.13158,2.40683,1.08327,0.00049905,0.00049905,0.00049905
47,159.26,0.82819,2.04898,1.3485,1.13442,0.71155,0.9,0.91545,0.70657,0.39531,0.5,0.49829,0.32116,0.82406,7.69958,2.39003,1.16875,0.000501032,0.000501032,0.000501032
48,162.558,1.05075,2.64827,1.37935,1.20443,0.71155,0.9,0.91545,0.70657,0.39531,0.5,0.49829,0.32116,0.82406,7.69958,2.39003,1.16875,0.000502618,0.000502618,0.000502618
49,165.834,0.95193,1.62252,1.29912,1.13765,1,0.27671,0.97833,0.75925,1,0.27671,0.56637,0.3873,0.84519,3.98902,2.32125,1.14131,0.000503808,0.000503808,0.000503808
50,169.095,1.12254,2.19949,1.47118,1.25569,1,0.27671,0.97833,0.75925,1,0.27671,0.56637,0.3873,0.84519,3.98902,2.32125,1.14131,0.000504602,0.000504602,0.000504602
51,172.355,0.97558,2.25573,1.23262,1.16535,1,0.43135,0.96192,0.76526,0.77196,0.34391,0.64533,0.41451,0.77264,2.70905,2.25598,1.10373,0.000505,0.000505,0.000505
52,175.71,1.07419,1.44087,1.35232,1.29212,1,0.43135,0.96192,0.76526,0.77196,0.34391,0.64533,0.41451,0.77264,2.70905,2.25598,1.10373,0.000505002,0.000505002,0.000505002
53,178.937,0.98337,2.38939,1.3249,1.25553,1,0.43135,0.96192,0.76526,0.77196,0.34391,0.64533,0.41451,0.77264,2.70905,2.25598,1.10373,0.000504608,0.000504608,0.000504608
54,182.191,0.66345,1.04282,1.19791,0.9779,1,0.7501,0.93667,0.80443,0.73632,0.56171,0.63793,0.41493,0.65133,2.32739,2.12942,1.04626,0.000503818,0.000503818,0.000503818
55,185.461,1.201,1.33526,1.16543,1.22308,1,0.7501,0.93667,0.80443,0.73632,0.56171,0.63793,0.41493,0.65133,2.32739,2.12942,1.04626,0.000502632,0.000502632,0.000502632
56,188.787,1.15075,1.41555,1.6028,1.33853,1,0.7501,0.93667,0.80443,0.73632,0.56171,0.63793,0.41493,0.65133,2.32739,2.12942,1.04626,0.00050105,0.00050105,0.00050105
57,192.121,1.40255,2.26807,1.5157,1.56961,1,0.79735,0.93564,0.78615,0.99909,0.7,0.89578,0.43136,0.64695,2.23469,1.99691,1.0511,0.000499072,0.000499072,0.000499072
58,195.474,0.91832,1.69447,1.29128,1.20655,1,0.79735,0.93564,0.78615,0.99909,0.7,0.89578,0.43136,0.64695,2.23469,1.99691,1.0511,0.000496698,0.000496698,0.000496698
59,198.705,0.85371,1.7628,1.08492,1.152,1,0.79735,0.93564,0.78615,0.99909,0.7,0.89578,0.43136,0.64695,2.23469,1.99691,1.0511,0.000493928,0.000493928,0.000493928
60,202.042,1.07468,1.68064,1.22714,1.10597,0.96751,0.7,0.87564,0.72779,0.96751,0.7,0.87564,0.45122,0.76794,2.12403,1.91309,1.09517,0.000490762,0.000490762,0.000490762
61,205.273,0.83882,1.6634,1.08395,1.1911,0.96751,0.7,0.87564,0.72779,0.96751,0.7,0.87564,0.45122,0.76794,2.12403,1.91309,1.09517,0.0004872,0.0004872,0.0004872
62,208.655,1.10968,2.16003,1.21101,1.11529,0.96751,0.7,0.87564,0.72779,0.96751,0.7,0.87564,0.45122,0.76794,2.12403,1.91309,1.09517,0.000483242,0.000483242,0.000483242
63,211.916,0.71239,1.5086,1.06632,1.03421,0.98061,0.7,0.88356,0.70628,0.98061,0.7,0.88356,0.40616,0.82292,2.19074,1.81061,1.16331,0.000478888,0.000478888,0.000478888
64,215.111,0.92302,1.56334,1.26034,1.17967,0.98061,0.7,0.88356,0.70628,0.98061,0.7,0.88356,0.40616,0.82292,2.19074,1.81061,1.16331,0.000474138,0.000474138,0.000474138
65,218.349,0.78348,1.02822,1.11069,1.05425,0.98061,0.7,0.88356,0.70628,0.98061,0.7,0.88356,0.40616,0.82292,2.19074,1.81061,1.16331,0.000468992,0.000468992,0.000468992
66,221.724,0.66928,0.81177,1.19122,1.08443,1,0.78428,0.88275,0.74994,0.98087,0.7,0.77354,0.44662,0.69269,2.264,1.72132,0.97293,0.00046345,0.00046345,0.00046345
67,224.94,1.01549,2.51092,1.1574,1.16268,1,0.78428,0.88275,0.74994,0.98087,0.7,0.77354,0.44662,0.69269,2.264,1.72132,0.97293,0.000457512,0.000457512,0.000457512
68,228.205,0.73826,2.21704,1.03943,1.08046,1,0.78428,0.88275,0.74994,0.98087,0.7,0.77354,0.44662,0.69269,2.264,1.72132,0.97293,0.000451178,0.000451178,0.000451178
69,231.504,1.08545,2.38084,1.23982,1.3159,1,0.78926,0.87086,0.78411,0.98044,0.7,0.76298,0.47333,0.57584,2.20803,1.71728,0.90088,0.000444448,0.000444448,0.000444448
